,num_buildings,num_destinations,trace_strength,agents_vision_angle,agent_vision_samples,Run,Avg_raster_value
1957,85,8,74,41.015625,3,37.0,85.81180922035249
1958,67,4,74,41.015625,3,38.0,179.71835746355245
1959,67,8,63,41.015625,3,39.0,207.61488556994175
1960,67,8,74,25.546875,3,40.0,178.51515529811246
1961,67,8,74,41.015625,7,41.0,167.75747751811238
1962,67,4,63,25.546875,7,42.0,199.96315212450196
1963,85,8,63,25.546875,7,43.0,204.60859434268994
1964,85,4,74,25.546875,7,44.0,176.48170731707316
1965,85,4,63,41.015625,7,45.0,88.82557183947405
1966,85,4,63,25.546875,3,46.0,203.09961249762893
1967,85,4,63,25.546875,7,47.0,193.84484463644407
1968,73,3,85,30.703125,4,48.0,82.63886450102429
1969,92,3,85,30.703125,4,49.0,297.0246754294009
1970,73,9,85,30.703125,4,50.0,92.12754738492234
1971,73,3,29,30.703125,4,51.0,97.57342834406424
1972,73,3,85,56.484375,4,52.0,283.3688831504196
1973,73,3,85,30.703125,9,53.0,71.68695691941828
1974,73,9,29,56.484375,9,54.0,112.84274410386418
1975,92,3,29,56.484375,9,55.0,254.22660017984143
1976,92,9,85,56.484375,9,56.0,231.26783266487283
1977,92,9,29,30.703125,9,57.0,251.00893558257292
1978,92,9,29,56.484375,4,58.0,60.495329944828185
1979,92,9,29,56.484375,9,59.0,235.16248875176757
1980,98,7,40,71.953125,10,60.0,132.42682279469165
1981,67,7,40,71.953125,10,61.0,313.5040389972145
1982,98,5,40,71.953125,10,62.0,256.073635719348
1983,98,7,74,71.953125,10,63.0,30.92354760181591
1984,98,7,40,15.234375,10,64.0,87.82903313416621
1985,98,7,40,71.953125,3,65.0,90.39569346366578
1986,98,5,74,15.234375,3,66.0,264.5645562287287
1987,67,7,74,15.234375,3,67.0,131.09871402327005
1988,67,5,40,15.234375,3,68.0,124.60337489509651
1989,67,5,74,71.953125,3,69.0,27.169818504886408
1990,67,5,74,15.234375,10,70.0,128.15587125279984
1991,67,5,74,15.234375,3,71.0,292.52087242026266
1992,85,5,63,10.078125,13,72.0,162.77407454522324
1993,54,5,63,10.078125,13,73.0,15.078230670809724
1994,85,7,63,10.078125,13,74.0,186.34834058010898
1995,85,5,97,10.078125,13,75.0,15.013243218558772
1996,85,5,63,35.859375,13,76.0,14.676421248835043
1997,85,5,63,10.078125,6,77.0,42.79110175713377
1998,85,7,97,35.859375,6,78.0,42.6543215791491
1999,54,5,97,35.859375,6,79.0,47.23227752639517
2000,54,7,63,35.859375,6,80.0,142.98714808517997
2001,54,7,97,10.078125,6,81.0,43.72541470602215
2002,54,7,97,35.859375,13,82.0,151.88109628388486
2003,54,7,97,35.859375,6,83.0,13.875035609153926
2004,60,8,18,51.328125,7,84.0,242.06182358997827
2005,79,8,18,51.328125,7,85.0,148.3878970615462
2006,60,4,18,51.328125,7,86.0,162.88622097114708
2007,60,8,52,51.328125,7,87.0,173.99964827950055
2008,60,8,18,77.109375,7,88.0,197.19356800930947
2009,60,8,18,51.328125,12,89.0,156.43356816555672
2010,60,4,52,77.109375,12,90.0,174.03353401390223
2011,79,8,52,77.109375,12,91.0,158.3477757884589
2012,79,4,18,77.109375,12,92.0,160.77735647680035
2013,79,4,52,51.328125,12,93.0,194.1284164406426
2014,79,4,52,77.109375,7,94.0,165.60294117647058
2015,79,4,52,77.109375,12,95.0,255.40036081372992
2016,57,4,57,77.109375,13,96.0,58.158394931362196
